time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,1,14,1,0,30
40,0,19,2,0,30
50,1,27,2,0,30
60,2,39,2,0,30
70,0,47,4,0,30
80,1,55,4,0,30
90,1,65,4,0,30
100,2,77,4,0,30
110,2,106,5,0,30
120,1,124,6,0,30
130,1,133,7,0,30
140,1,143,7,0,30
150,2,158,7,0,30
160,0,169,9,0,30
170,1,171,9,0,30
180,2,190,9,0,30
190,1,210,10,0,30
200,1,220,10,0,30
210,2,233,11,0,30
220,2,253,11,0,30
230,0,259,13,0,30
240,1,262,13,0,30
250,2,278,13,0,30
260,0,294,15,0,30
270,0,294,15,0,30
280,0,294,15,0,30
290,1,299,15,0,30
300,1,316,17,0,30
310,0,320,18,0,30
320,0,328,19,0,30
330,0,328,19,0,30
340,3,347,19,0,30
350,3,371,20,0,30
360,3,401,21,0,30
370,1,422,23,0,30
380,2,439,24,0,30
390,1,458,25,0,30
400,0,464,26,0,30
410,1,467,26,0,30
420,1,477,26,0,30
430,1,487,26,0,30
440,0,491,27,0,30
450,0,491,27,0,30
460,1,495,27,0,30
470,1,505,27,0,30
480,2,524,28,0,30
490,2,546,29,0,30
500,0,559,31,0,30
510,0,559,31,0,30
520,2,570,31,0,30
530,2,590,31,0,30
540,0,599,33,0,30
550,0,599,33,0,30
560,1,602,33,0,30
570,1,618,34,0,30
580,0,627,35,0,30
590,0,627,35,0,30
600,1,628,35,0,30
610,1,638,35,0,30
620,1,654,36,0,30
630,2,666,36,0,30
640,1,678,37,0,30
650,2,698,37,0,30
660,1,709,38,0,30
670,0,714,39,0,30
680,0,714,39,0,30
690,0,714,39,0,30
700,0,714,39,0,30
710,0,714,39,0,30
720,0,714,39,0,30
730,0,714,39,0,30
740,0,714,39,0,30
750,0,714,39,0,30
760,0,714,39,0,30
770,1,720,39,0,30
780,1,730,39,0,30
790,1,740,39,0,30
800,1,752,40,0,30
810,10,846,40,0,30
820,10,924,40,0,30
830,10,952,40,1,30
840,10,960,40,1,30
850,10,960,40,2,30
860,10,960,40,3,30
870,10,960,40,3,30
880,10,960,40,5,30
890,10,960,40,6,30
900,10,960,40,7,30
910,10,960,40,8,28
920,10,960,40,8,28
930,10,960,40,9,28
940,10,960,40,10,28
950,10,960,40,11,28
960,10,960,40,12,28
970,10,960,40,12,28
980,10,960,40,13,28
990,10,960,40,13,28
1000,10,960,40,13,28
1010,10,960,40,13,28
1020,10,960,40,15,27
1030,10,960,40,15,27
1040,10,960,40,16,27
1050,10,960,40,18,27
1060,10,960,40,18,27
1070,10,960,40,18,27
1080,10,960,40,20,27
1090,10,960,40,20,27
1100,10,960,40,20,26
1110,10,960,40,20,26
1120,10,960,40,20,26
1130,10,960,40,20,26
1140,10,960,40,20,26
1150,10,960,40,20,26
1160,10,960,40,21,26
1170,10,960,40,22,25
1180,10,960,40,22,25
1190,10,960,40,22,25
1200,10,960,40,23,25
1210,10,960,40,25,25
1220,10,960,40,25,25
1230,10,960,40,25,25
1240,10,960,40,26,25
1250,10,960,40,27,25
1260,10,960,40,27,25
1270,10,960,40,28,25
1280,10,960,40,29,25
1290,10,960,40,31,25
1300,10,960,40,31,25
1310,10,960,40,32,25
1320,10,960,40,32,25
1330,10,960,40,32,25
1340,10,960,40,33,25
1350,10,960,40,34,25
1360,10,960,40,34,25
1370,10,960,40,34,25
1380,10,960,40,34,25
1390,10,960,40,34,25
1400,10,960,40,34,25
1410,10,960,40,35,25
1420,10,960,40,36,25
1430,10,960,40,38,25
1440,10,960,40,39,25
1450,10,960,40,39,25
1460,10,960,40,40,25
1470,10,960,40,41,25
1480,10,960,40,41,25
1490,10,960,40,42,25
1500,10,960,40,42,25
1510,10,960,40,43,25
1520,10,960,40,45,25
1530,10,960,40,45,25
1540,10,960,40,45,25
1550,10,960,40,46,25
1560,10,960,40,46,25
1570,10,960,40,46,25
1580,10,960,40,47,25
1590,10,960,40,47,25
1600,10,960,40,47,25
1610,10,960,40,47,25
1620,10,960,40,47,25
1630,10,960,40,47,25
1640,10,960,40,47,25
1650,10,960,40,47,25
1660,10,960,40,48,25
1670,10,960,40,48,25
1680,10,960,40,48,25
1690,10,960,40,48,25
1700,10,960,40,49,25
1710,10,960,40,49,25
1720,10,960,40,49,25
1730,10,960,40,49,25
1740,10,960,40,49,25
1750,10,960,40,51,25
1760,10,960,40,52,25
1770,10,960,40,52,25
1780,10,960,40,52,25
1790,10,960,40,53,25
1800,10,960,40,55,25
1810,10,960,40,55,25
1820,10,960,40,56,25
1830,10,960,40,57,25
1840,10,960,40,57,25
1850,10,960,40,57,25
1860,10,960,40,57,25
1870,10,960,40,58,25
1880,10,960,40,58,25
1890,10,960,40,59,25
1900,10,960,40,59,25
1910,10,960,40,61,25
1920,10,960,40,61,25
1930,10,960,40,62,25
1940,10,960,40,62,25
1950,10,960,40,62,25
1960,10,960,40,62,25
1970,10,960,40,63,25
1980,10,960,40,64,25
1990,10,960,40,64,25
2000,10,960,40,64,25
