time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,2,21,0,0,30
40,1,37,1,0,30
50,2,55,1,0,30
60,3,77,1,0,30
70,2,100,2,0,30
80,1,114,4,0,30
90,1,124,4,0,30
100,2,136,4,0,30
110,2,165,5,0,30
120,0,181,7,0,30
130,1,183,7,0,30
140,1,193,7,0,30
150,2,208,7,0,30
160,0,219,9,0,30
170,1,221,9,0,30
180,2,240,9,0,30
190,1,260,10,0,30
200,1,270,10,0,30
210,2,283,11,0,30
220,2,303,11,0,30
230,0,309,13,0,30
240,1,312,13,0,30
250,2,328,13,0,30
260,0,344,15,0,30
270,0,344,15,0,30
280,0,344,15,0,30
290,1,349,15,0,30
300,1,366,17,0,30
310,0,370,18,0,30
320,0,378,19,0,30
330,0,378,19,0,30
340,3,397,19,0,30
350,3,421,20,0,30
360,3,451,21,0,30
370,1,472,23,0,30
380,2,489,24,0,30
390,1,508,25,0,30
400,0,514,26,0,30
410,1,517,26,0,30
420,1,527,26,0,30
430,1,537,26,0,30
440,0,541,27,0,30
450,0,541,27,0,30
460,1,545,27,0,30
470,1,555,27,0,30
480,2,574,28,0,30
490,2,596,29,0,30
500,0,609,31,0,30
510,0,609,31,0,30
520,2,620,31,0,30
530,2,640,31,0,30
540,0,649,33,0,30
550,0,649,33,0,30
560,1,652,33,0,30
570,1,668,34,0,30
580,0,677,35,0,30
590,0,677,35,0,30
600,1,678,35,0,30
610,1,688,35,0,30
620,1,704,36,0,30
630,2,716,36,0,30
640,1,728,37,0,30
650,2,748,37,0,30
660,1,759,38,0,30
670,0,764,39,0,30
680,0,764,39,0,30
690,0,764,39,0,30
700,0,764,39,0,30
710,0,764,39,0,30
720,0,764,39,0,30
730,0,764,39,0,30
740,0,764,39,0,30
750,0,764,39,0,30
760,0,764,39,0,30
770,1,770,39,0,30
780,1,780,39,0,30
790,1,790,39,0,30
800,1,802,40,0,30
810,10,902,40,0,30
820,10,991,40,0,30
830,10,1052,40,1,30
840,10,1066,40,1,30
850,10,1066,40,2,30
860,10,1066,40,3,30
870,10,1066,40,3,30
880,10,1066,40,5,29
890,10,1066,40,6,29
900,10,1066,40,7,29
910,10,1066,40,8,28
920,10,1066,40,8,28
930,10,1066,40,9,28
940,10,1066,40,10,28
950,10,1066,40,11,28
960,10,1066,40,12,28
970,10,1066,40,12,28
980,10,1066,40,13,28
990,10,1066,40,13,28
1000,10,1066,40,13,28
1010,10,1066,40,13,28
1020,10,1066,40,15,28
1030,10,1066,40,15,28
1040,10,1066,40,16,28
1050,10,1066,40,18,28
1060,10,1066,40,18,28
1070,10,1066,40,18,28
1080,10,1066,40,20,28
1090,10,1066,40,20,27
1100,10,1066,40,20,27
1110,10,1066,40,20,27
1120,10,1066,40,20,27
1130,10,1066,40,20,27
1140,10,1066,40,20,27
1150,10,1066,40,20,26
1160,10,1066,40,21,26
1170,10,1066,40,22,26
1180,10,1066,40,22,26
1190,10,1066,40,22,26
1200,10,1066,40,23,26
1210,10,1066,40,25,26
1220,10,1066,40,25,26
1230,10,1066,40,25,26
1240,10,1066,40,26,26
1250,10,1066,40,27,26
1260,10,1066,40,27,26
1270,10,1066,40,28,26
1280,10,1066,40,29,26
1290,10,1066,40,31,26
1300,10,1066,40,31,26
1310,10,1066,40,32,26
1320,10,1066,40,32,26
1330,10,1066,40,32,26
1340,10,1066,40,33,26
1350,10,1066,40,34,26
1360,10,1066,40,34,26
1370,10,1066,40,34,26
1380,10,1066,40,34,26
1390,10,1066,40,34,26
1400,10,1066,40,34,26
1410,10,1066,40,35,26
1420,10,1066,40,36,26
1430,10,1066,40,38,26
1440,10,1066,40,39,26
1450,10,1066,40,39,26
1460,10,1066,40,40,26
1470,10,1066,40,41,26
1480,10,1066,40,41,26
1490,10,1066,40,42,26
1500,10,1066,40,42,26
1510,10,1066,40,43,26
1520,10,1066,40,45,26
1530,10,1066,40,45,26
1540,10,1066,40,45,26
1550,10,1066,40,46,26
1560,10,1066,40,46,26
1570,10,1066,40,46,26
1580,10,1066,40,47,26
1590,10,1066,40,47,26
1600,10,1066,40,47,26
1610,10,1066,40,47,26
1620,10,1066,40,47,26
1630,10,1066,40,47,26
1640,10,1066,40,47,26
1650,10,1066,40,47,26
1660,10,1066,40,48,26
1670,10,1066,40,48,26
1680,10,1066,40,48,26
1690,10,1066,40,48,26
1700,10,1066,40,49,26
1710,10,1066,40,49,26
1720,10,1066,40,49,26
1730,10,1066,40,49,26
1740,10,1066,40,49,26
1750,10,1066,40,51,26
1760,10,1066,40,52,26
1770,10,1066,40,52,26
1780,10,1066,40,52,26
1790,10,1066,40,53,26
1800,10,1066,40,55,26
1810,10,1066,40,55,26
1820,10,1066,40,56,26
1830,10,1066,40,57,26
1840,10,1066,40,57,26
1850,10,1066,40,57,26
1860,10,1066,40,57,26
1870,10,1066,40,58,26
1880,10,1066,40,58,26
1890,10,1066,40,59,26
1900,10,1066,40,59,26
1910,10,1066,40,61,26
1920,10,1066,40,61,26
1930,10,1066,40,62,26
1940,10,1066,40,62,26
1950,10,1066,40,62,26
1960,10,1066,40,62,26
1970,10,1066,40,63,26
1980,10,1066,40,64,26
1990,10,1066,40,64,26
2000,10,1066,40,64,26
