time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,2,20,0,0,30
40,1,26,1,0,30
50,2,34,1,0,30
60,3,46,1,0,30
70,1,52,3,0,30
80,2,60,3,0,30
90,2,70,3,0,30
100,3,82,3,0,30
110,3,111,4,0,30
120,1,124,6,0,30
130,2,126,6,0,30
140,2,136,6,0,30
150,3,151,6,0,30
160,1,162,8,0,30
170,2,164,8,0,30
180,3,183,8,0,30
190,2,203,9,0,30
200,2,213,9,0,30
210,3,226,10,0,30
220,3,246,10,0,30
230,1,252,12,0,30
240,2,255,12,0,30
250,3,271,12,0,30
260,1,287,14,0,30
270,1,287,14,0,30
280,1,287,14,0,30
290,2,292,14,0,30
300,2,309,16,0,30
310,1,313,17,0,30
320,1,321,18,0,30
330,1,321,18,0,30
340,4,340,18,0,30
350,4,364,19,0,30
360,4,394,20,0,30
370,2,415,22,0,30
380,3,432,23,0,30
390,2,451,24,0,30
400,1,457,25,0,30
410,2,460,25,0,30
420,2,470,25,0,30
430,2,480,25,0,30
440,1,484,26,0,30
450,1,484,26,0,30
460,2,488,26,0,30
470,2,498,26,0,30
480,3,517,27,0,30
490,3,539,28,0,30
500,1,552,30,0,30
510,1,552,30,0,30
520,3,563,30,0,30
530,3,583,30,0,30
540,1,592,32,0,30
550,1,592,32,0,30
560,2,595,32,0,30
570,2,611,33,0,30
580,1,620,34,0,30
590,1,620,34,0,30
600,2,621,34,0,30
610,2,631,34,0,30
620,2,647,35,0,30
630,3,659,35,0,30
640,2,671,36,0,30
650,3,691,36,0,30
660,2,702,37,0,30
670,1,707,38,0,30
680,1,707,38,0,30
690,1,707,38,0,30
700,1,707,38,0,30
710,1,707,38,0,30
720,1,707,38,0,30
730,1,707,38,0,30
740,1,707,38,0,30
750,1,707,38,0,30
760,1,707,38,0,30
770,2,713,38,0,30
780,2,723,38,0,30
790,2,733,38,0,30
800,2,745,39,0,30
810,0,745,39,0,30
820,0,745,39,0,30
830,0,745,39,1,30
840,0,745,39,1,30
850,0,745,39,2,30
860,0,745,39,3,30
870,0,745,39,3,30
880,0,745,39,5,30
890,0,745,39,6,30
900,0,745,39,7,30
910,0,745,39,8,30
920,0,745,39,8,30
930,0,745,39,9,30
940,0,745,39,10,30
950,0,745,39,11,30
960,0,745,39,12,30
970,0,745,39,12,30
980,0,745,39,13,28
990,0,745,39,13,28
1000,0,745,39,13,28
1010,0,745,39,13,27
1020,0,745,39,15,26
1030,0,745,39,15,26
1040,0,745,39,16,26
1050,0,745,39,18,26
1060,0,745,39,18,26
1070,0,745,39,18,26
1080,0,745,39,20,26
1090,0,745,39,20,26
1100,0,745,39,20,25
1110,0,745,39,20,25
1120,0,745,39,20,25
1130,0,745,39,20,25
1140,0,745,39,20,25
1150,0,745,39,20,25
1160,0,745,39,21,25
1170,0,745,39,22,25
1180,0,745,39,22,25
1190,0,745,39,22,25
1200,0,745,39,23,25
1210,0,745,39,25,25
1220,0,745,39,25,25
1230,0,745,39,25,25
1240,0,745,39,26,25
1250,0,745,39,27,25
1260,0,745,39,27,25
1270,0,745,39,28,25
1280,0,745,39,29,25
1290,0,745,39,31,25
1300,0,745,39,31,25
1310,0,745,39,32,25
1320,0,745,39,32,25
1330,0,745,39,32,25
1340,0,745,39,33,25
1350,0,745,39,34,25
1360,0,745,39,34,25
1370,0,745,39,34,25
1380,0,745,39,34,25
1390,0,745,39,34,25
1400,0,745,39,34,25
1410,0,745,39,35,25
1420,0,745,39,36,25
1430,0,745,39,38,25
1440,0,745,39,39,25
1450,0,745,39,39,25
1460,0,745,39,40,25
1470,0,745,39,41,25
1480,0,745,39,41,25
1490,0,745,39,42,25
1500,0,745,39,42,25
1510,0,745,39,43,25
1520,0,745,39,45,25
1530,0,745,39,45,25
1540,0,745,39,45,25
1550,0,745,39,46,25
1560,0,745,39,46,25
1570,0,745,39,46,25
1580,0,745,39,47,25
1590,0,745,39,47,25
1600,0,745,39,47,25
1610,0,745,39,47,25
1620,0,745,39,47,25
1630,0,745,39,47,25
1640,0,745,39,47,25
1650,0,745,39,47,25
1660,0,745,39,48,25
1670,0,745,39,48,25
1680,0,745,39,48,25
1690,0,745,39,48,25
1700,0,745,39,49,25
1710,0,745,39,49,25
1720,0,745,39,49,25
1730,0,745,39,49,25
1740,0,745,39,49,25
1750,0,745,39,51,25
1760,0,745,39,52,25
1770,0,745,39,52,25
1780,0,745,39,52,25
1790,0,745,39,53,25
1800,0,745,39,55,25
1810,0,745,39,55,25
1820,0,745,39,56,25
1830,0,745,39,57,25
1840,0,745,39,57,25
1850,0,745,39,57,25
1860,0,745,39,57,25
1870,0,745,39,58,25
1880,0,745,39,58,25
1890,0,745,39,59,25
1900,0,745,39,59,25
1910,0,745,39,61,25
1920,0,745,39,61,25
1930,0,745,39,62,25
1940,0,745,39,62,25
1950,0,745,39,62,25
1960,0,745,39,62,25
1970,0,745,39,63,25
1980,0,745,39,64,25
1990,0,745,39,64,25
2000,0,745,39,64,25
