time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,1,19,1,0,30
40,0,24,2,0,30
50,1,32,2,0,30
60,2,44,2,0,30
70,1,57,3,0,30
80,1,66,4,0,30
90,1,76,4,0,30
100,2,88,4,0,30
110,2,117,5,0,30
120,1,135,6,0,30
130,1,142,7,0,30
140,1,152,7,0,30
150,2,167,7,0,30
160,0,178,9,0,30
170,1,180,9,0,30
180,2,199,9,0,30
190,1,219,10,0,30
200,1,229,10,0,30
210,2,242,11,0,30
220,2,262,11,0,30
230,0,268,13,0,30
240,1,271,13,0,30
250,2,287,13,0,30
260,0,303,15,0,30
270,0,303,15,0,30
280,0,303,15,0,30
290,1,308,15,0,30
300,1,325,17,0,30
310,0,329,18,0,30
320,0,337,19,0,30
330,0,337,19,0,30
340,3,356,19,0,30
350,3,380,20,0,30
360,3,410,21,0,30
370,1,431,23,0,30
380,2,448,24,0,30
390,1,467,25,0,30
400,0,473,26,0,30
410,1,476,26,0,30
420,1,486,26,0,30
430,1,496,26,0,30
440,0,500,27,0,30
450,0,500,27,0,30
460,1,504,27,0,30
470,1,514,27,0,30
480,2,533,28,0,30
490,2,555,29,0,30
500,0,568,31,0,30
510,0,568,31,0,30
520,2,579,31,0,30
530,2,599,31,0,30
540,0,608,33,0,30
550,0,608,33,0,30
560,1,611,33,0,30
570,1,627,34,0,30
580,0,636,35,0,30
590,0,636,35,0,30
600,1,637,35,0,30
610,1,647,35,0,30
620,1,663,36,0,30
630,2,675,36,0,30
640,1,687,37,0,30
650,2,707,37,0,30
660,1,718,38,0,30
670,0,723,39,0,30
680,0,723,39,0,30
690,0,723,39,0,30
700,0,723,39,0,30
710,0,723,39,0,30
720,0,723,39,0,30
730,0,723,39,0,30
740,0,723,39,0,30
750,0,723,39,0,30
760,0,723,39,0,30
770,1,729,39,0,30
780,1,739,39,0,30
790,1,749,39,0,30
800,1,761,40,0,30
810,0,861,40,0,30
820,0,947,40,0,30
830,0,999,40,1,30
840,0,1009,40,1,30
850,0,1009,40,2,30
860,0,1009,40,3,30
870,0,1009,40,3,30
880,0,1009,40,5,30
890,0,1009,40,6,30
900,0,1009,40,7,30
910,0,1009,40,8,29
920,0,1009,40,8,29
930,0,1009,40,9,29
940,0,1009,40,10,29
950,0,1009,40,11,29
960,0,1009,40,12,29
970,0,1009,40,12,28
980,0,1009,40,13,28
990,0,1009,40,13,28
1000,0,1009,40,13,28
1010,0,1009,40,13,28
1020,0,1009,40,15,28
1030,0,1009,40,15,28
1040,0,1009,40,16,28
1050,0,1009,40,18,28
1060,0,1009,40,18,28
1070,0,1009,40,18,28
1080,0,1009,40,20,28
1090,0,1009,40,20,28
1100,0,1009,40,20,28
1110,0,1009,40,20,28
1120,0,1009,40,20,28
1130,0,1009,40,20,28
1140,0,1009,40,20,28
1150,0,1009,40,20,28
1160,0,1009,40,21,28
1170,0,1009,40,22,28
1180,0,1009,40,22,27
1190,0,1009,40,22,27
1200,0,1009,40,23,27
1210,0,1009,40,25,27
1220,0,1009,40,25,26
1230,0,1009,40,25,26
1240,0,1009,40,26,25
1250,0,1009,40,27,25
1260,0,1009,40,27,25
1270,0,1009,40,28,25
1280,0,1009,40,29,25
1290,0,1009,40,31,25
1300,0,1009,40,31,25
1310,0,1009,40,32,25
1320,0,1009,40,32,25
1330,0,1009,40,32,25
1340,0,1009,40,33,25
1350,0,1009,40,34,25
1360,0,1009,40,34,25
1370,0,1009,40,34,25
1380,0,1009,40,34,25
1390,0,1009,40,34,25
1400,0,1009,40,34,25
1410,0,1009,40,35,25
1420,0,1009,40,36,25
1430,0,1009,40,38,25
1440,0,1009,40,39,25
1450,0,1009,40,39,25
1460,0,1009,40,40,25
1470,0,1009,40,41,25
1480,0,1009,40,41,25
1490,0,1009,40,42,25
1500,0,1009,40,42,25
1510,0,1009,40,43,25
1520,0,1009,40,45,25
1530,0,1009,40,45,25
1540,0,1009,40,45,25
1550,0,1009,40,46,25
1560,0,1009,40,46,25
1570,0,1009,40,46,25
1580,0,1009,40,47,25
1590,0,1009,40,47,25
1600,0,1009,40,47,25
1610,0,1009,40,47,25
1620,0,1009,40,47,25
1630,0,1009,40,47,25
1640,0,1009,40,47,25
1650,0,1009,40,47,25
1660,0,1009,40,48,25
1670,0,1009,40,48,25
1680,0,1009,40,48,25
1690,0,1009,40,48,25
1700,0,1009,40,49,25
1710,0,1009,40,49,25
1720,0,1009,40,49,25
1730,0,1009,40,49,25
1740,0,1009,40,49,25
1750,0,1009,40,51,25
1760,0,1009,40,52,25
1770,0,1009,40,52,25
1780,0,1009,40,52,25
1790,0,1009,40,53,25
1800,0,1009,40,55,25
1810,0,1009,40,55,25
1820,0,1009,40,56,25
1830,0,1009,40,57,25
1840,0,1009,40,57,25
1850,0,1009,40,57,25
1860,0,1009,40,57,25
1870,0,1009,40,58,25
1880,0,1009,40,58,25
1890,0,1009,40,59,25
1900,0,1009,40,59,25
1910,0,1009,40,61,25
1920,0,1009,40,61,25
1930,0,1009,40,62,25
1940,0,1009,40,62,25
1950,0,1009,40,62,25
1960,0,1009,40,62,25
1970,0,1009,40,63,25
1980,0,1009,40,64,25
1990,0,1009,40,64,25
2000,0,1009,40,64,25
