time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,2,20,0,0,30
40,1,28,1,0,30
50,2,36,1,0,30
60,3,48,1,0,30
70,2,61,2,0,30
80,2,73,3,0,30
90,2,83,3,0,30
100,3,95,3,0,30
110,3,124,4,0,30
120,1,138,6,0,30
130,2,140,6,0,30
140,2,150,6,0,30
150,3,165,6,0,30
160,1,176,8,0,30
170,2,178,8,0,30
180,3,197,8,0,30
190,2,217,9,0,30
200,2,227,9,0,30
210,3,240,10,0,30
220,3,260,10,0,30
230,1,266,12,0,30
240,2,269,12,0,30
250,3,285,12,0,30
260,1,301,14,0,30
270,1,301,14,0,30
280,1,301,14,0,30
290,2,306,14,0,30
300,2,323,16,0,30
310,1,327,17,0,30
320,1,335,18,0,30
330,1,335,18,0,30
340,4,354,18,0,30
350,4,378,19,0,30
360,4,408,20,0,30
370,2,429,22,0,30
380,3,446,23,0,30
390,2,465,24,0,30
400,1,471,25,0,30
410,2,474,25,0,30
420,2,484,25,0,30
430,2,494,25,0,30
440,1,498,26,0,30
450,1,498,26,0,30
460,2,502,26,0,30
470,2,512,26,0,30
480,3,531,27,0,30
490,3,553,28,0,30
500,1,566,30,0,30
510,1,566,30,0,30
520,3,577,30,0,30
530,3,597,30,0,30
540,1,606,32,0,30
550,1,606,32,0,30
560,2,609,32,0,30
570,2,625,33,0,30
580,1,634,34,0,30
590,1,634,34,0,30
600,2,635,34,0,30
610,2,645,34,0,30
620,2,661,35,0,30
630,3,673,35,0,30
640,2,685,36,0,30
650,3,705,36,0,30
660,2,716,37,0,30
670,1,721,38,0,30
680,1,721,38,0,30
690,1,721,38,0,30
700,1,721,38,0,30
710,1,721,38,0,30
720,1,721,38,0,30
730,1,721,38,0,30
740,1,721,38,0,30
750,1,721,38,0,30
760,1,721,38,0,30
770,2,727,38,0,30
780,2,737,38,0,30
790,2,747,38,0,30
800,2,759,39,0,30
810,10,849,39,0,30
820,10,939,39,0,30
830,10,982,39,1,30
840,10,990,39,1,30
850,10,990,39,2,30
860,10,990,39,3,30
870,10,990,39,3,30
880,10,990,39,5,30
890,10,990,39,6,30
900,10,990,39,7,30
910,10,990,39,8,30
920,10,990,39,8,30
930,10,990,39,9,29
940,10,990,39,10,28
950,10,990,39,11,28
960,10,990,39,12,28
970,10,990,39,12,28
980,10,990,39,13,28
990,10,990,39,13,28
1000,10,990,39,13,28
1010,10,990,39,13,27
1020,10,990,39,15,27
1030,10,990,39,15,27
1040,10,990,39,16,27
1050,10,990,39,18,27
1060,10,990,39,18,26
1070,10,990,39,18,26
1080,10,990,39,20,26
1090,10,990,39,20,26
1100,10,990,39,20,26
1110,10,990,39,20,26
1120,10,990,39,20,26
1130,10,990,39,20,26
1140,10,990,39,20,26
1150,10,990,39,20,26
1160,10,990,39,21,26
1170,10,990,39,22,26
1180,10,990,39,22,26
1190,10,990,39,22,26
1200,10,990,39,23,26
1210,10,990,39,25,26
1220,10,990,39,25,26
1230,10,990,39,25,26
1240,10,990,39,26,25
1250,10,990,39,27,25
1260,10,990,39,27,25
1270,10,990,39,28,25
1280,10,990,39,29,25
1290,10,990,39,31,25
1300,10,990,39,31,25
1310,10,990,39,32,25
1320,10,990,39,32,25
1330,10,990,39,32,25
1340,10,990,39,33,25
1350,10,990,39,34,25
1360,10,990,39,34,25
1370,10,990,39,34,25
1380,10,990,39,34,25
1390,10,990,39,34,25
1400,10,990,39,34,25
1410,10,990,39,35,25
1420,10,990,39,36,25
1430,10,990,39,38,25
1440,10,990,39,39,25
1450,10,990,39,39,25
1460,10,990,39,40,25
1470,10,990,39,41,25
1480,10,990,39,41,25
1490,10,990,39,42,25
1500,10,990,39,42,25
1510,10,990,39,43,25
1520,10,990,39,45,25
1530,10,990,39,45,25
1540,10,990,39,45,25
1550,10,990,39,46,25
1560,10,990,39,46,25
1570,10,990,39,46,25
1580,10,990,39,47,25
1590,10,990,39,47,25
1600,10,990,39,47,25
1610,10,990,39,47,25
1620,10,990,39,47,25
1630,10,990,39,47,25
1640,10,990,39,47,25
1650,10,990,39,47,25
1660,10,990,39,48,25
1670,10,990,39,48,25
1680,10,990,39,48,25
1690,10,990,39,48,25
1700,10,990,39,49,25
1710,10,990,39,49,25
1720,10,990,39,49,25
1730,10,990,39,49,25
1740,10,990,39,49,25
1750,10,990,39,51,25
1760,10,990,39,52,25
1770,10,990,39,52,25
1780,10,990,39,52,25
1790,10,990,39,53,25
1800,10,990,39,55,25
1810,10,990,39,55,25
1820,10,990,39,56,25
1830,10,990,39,57,25
1840,10,990,39,57,25
1850,10,990,39,57,25
1860,10,990,39,57,25
1870,10,990,39,58,25
1880,10,990,39,58,25
1890,10,990,39,59,25
1900,10,990,39,59,25
1910,10,990,39,61,25
1920,10,990,39,61,25
1930,10,990,39,62,25
1940,10,990,39,62,25
1950,10,990,39,62,25
1960,10,990,39,62,25
1970,10,990,39,63,25
1980,10,990,39,64,25
1990,10,990,39,64,25
2000,10,990,39,64,25
